brand_id,ml_id,name,changed_columns,diff_cells,source_file_version
sb_002_00050,ml_002,수프렙미니에스,class,1,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00060,ml_006,에젯토 정 10/20mg,"name, merge_name",2,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_010_00011,ml_010,듀라스틴,molecule,1,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_012_00006,ml_012,베노스틴,strength_pack,1,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_012_00007,ml_012,훼렉스,strength_pack,1,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_012_00008,ml_012,훼모럼,strength_pack,1,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_012_00009,ml_012,페린젝트,strength_pack,1,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_012_00010,ml_012,페린젝트,strength_pack,1,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_012_00011,ml_012,페린젝트,strength_pack,1,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_012_00012,ml_012,베노훼럼,strength_pack,1,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_012_00013,ml_012,아네럼,strength_pack,1,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_012_00014,ml_012,페로빈,strength_pack,1,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_012_00015,ml_012,베노스틴,strength_pack,1,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_012_00016,ml_012,훼렉스,strength_pack,1,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_012_00017,ml_012,트리페릭,strength_pack,1,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_012_00018,ml_012,모노퍼,strength_pack,1,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_012_00019,ml_012,모노퍼,strength_pack,1,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_012_00020,ml_012,훼로웰,strength_pack,1,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_012_00021,ml_012,훼로웰,strength_pack,1,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
